JTAG UART link established using cable "USB-Blaster [USB-0]", device 1, instance 0x00
=== CALIBRATION DES CAPTEURS ===
1. Posez le robot sur le BLANC.
2. Regardez les valeurs.
3. Posez le robot sur le NOIR.
--------------------------------
C0: 38 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 38
C0: 20 | C1: 12 | C2: 12 | C3: 13 | C4: 12 | C5: 12 | C6: 20
C0: 20 | C1: 12 | C2: 12 | C3: 13 | C4: 12 | C5: 12 | C6: 19
C0: 21 | C1: 12 | C2: 12 | C3: 13 | C4: 12 | C5: 12 | C6: 20
C0: 20 | C1: 12 | C2: 12 | C3: 13 | C4: 12 | C5: 12 | C6: 18
C0: 20 | C1: 12 | C2: 12 | C3: 13 | C4: 12 | C5: 12 | C6: 18
C0: 20 | C1: 12 | C2: 12 | C3: 13 | C4: 12 | C5: 12 | C6: 18
C0: 21 | C1: 12 | C2: 12 | C3: 13 | C4: 12 | C5: 12 | C6: 19
C0: 25 | C1: 13 | C2: 13 | C3: 14 | C4: 13 | C5: 12 | C6: 24
C0: 29 | C1: 13 | C2: 13 | C3: 15 | C4: 13 | C5: 12 | C6: 25
C0: 45 | C1: 26 | C2: 28 | C3: 30 | C4: 25 | C5: 27 | C6: 46
C0: 44 | C1: 25 | C2: 27 | C3: 30 | C4: 25 | C5: 23 | C6: 42
C0: 44 | C1: 25 | C2: 27 | C3: 30 | C4: 25 | C5: 24 | C6: 43
C0: 35 | C1: 16 | C2: 20 | C3: 23 | C4: 17 | C5: 15 | C6: 36
C0: 26 | C1: 13 | C2: 13 | C3: 15 | C4: 13 | C5: 12 | C6: 25
C0: 23 | C1: 12 | C2: 13 | C3: 14 | C4: 12 | C5: 12 | C6: 21
C0: 25 | C1: 12 | C2: 13 | C3: 13 | C4: 12 | C5: 12 | C6: 13
C0: 18 | C1: 12 | C2: 12 | C3: 13 | C4: 12 | C5: 12 | C6: 18
C0: 18 | C1: 12 | C2: 12 | C3: 13 | C4: 12 | C5: 12 | C6: 20
C0: 21 | C1: 12 | C2: 13 | C3: 14 | C4: 12 | C5: 12 | C6: 21
C0: 19 | C1: 12 | C2: 12 | C3: 14 | C4: 12 | C5: 12 | C6: 19
